Company Name,Status,Fields Updated
PT Dini Media Consulting,OK,10 fields
PT Dinosaurus Bali Investments,OK,14 fields
PT Disruptives Idea Indonesia,OK,11 fields
PT Dive Culture Bali,OK,5 fields
PT Dive Havens,NO_PDFS,0
PT Divina Bali Retreats,OK,12 fields
PT Divine Design Agency,OK,11 fields
PT Doa Restu Ibu,NO_PDFS,0
PT Dolce Vita Indonesia,OK,8 fields
PT Domus Dei Amare,OK,11 fields
PT Donna Ubud Dining,OK,10 fields
PT Dorn Production Studio,OK,11 fields
PT Doubleu Nail Bar,OK,11 fields
PT Dragonfly Village,OK,10 fields
PT Dream Boat Indonesia,NO_PDFS,0
PT Dream Came True Bali,OK,9 fields
PT Dream Green Boutique,OK,11 fields
PT Dream Island Development,OK,10 fields
PT Dream Paradise Serenity,OK,12 fields
PT Dream Wave Lab,OK,11 fields
PT Dua Jaya,OK,8 fields
PT Dua Lelaki Danau,FAIL,0
PT Dua Rangdu Buleleng,FAIL,0
PT Dua Saudara Bali,OK,11 fields
PT Duc White Altum,EMPTY_FOLDER,0
PT Duches Martha,OK,12 fields
PT Dukopa International Consulting,OK,10 fields
PT Dunia Gede Abadi,OK,7 fields
PT Dunia Laut Bali,FAIL,0
PT Dwi Pura Mitra,OK,4 fields
PT Dwipa Bintang Bali,OK,7 fields
PT Dyvo Travel Indonesia,OK,11 fields
PT Dzen Villas Green Fields,OK,12 fields
PT EKA BAYU SENTOSAPT,NO_PDFS,0
PT ELAN QUALITY HOSPITALITY,FAIL,0
PT EVTN Business Management,OK,10 fields
PT Eagle Crest Bali,OK,7 fields
PT East Indian Trading PT (PAK Dian),OK,5 fields
PT East Moonson,OK,6 fields
PT East Side Agriculture,OK,10 fields
PT Easy Estate Group,OK,9 fields
PT Easy Way Solution,OK,11 fields
PT Echat Tech Communication,OK,11 fields
PT Eco Resort Mawun Raya,OK,8 fields
PT Eden Bali Residen,OK,11 fields
PT Eden Kuta Management,FAIL,0
PT Edoni For Giamma,OK,10 fields
PT Efficient Training Systems,OK,8 fields
PT Ehml Solutions Group,OK,10 fields
PT Eime Bali Project,OK,9 fields
PT Ekleen Pro Services,OK,9 fields
PT Elang Pratama Indonesia,FAIL,0
PT Ele Restaurant Group,OK,8 fields
PT Elements Jewelry Bali,OK,9 fields
PT Elevate Fitness Bali,OK,8 fields
PT Elevation Health Resort,OK,11 fields
PT Elevation Hospitality Consulting,OK,11 fields
PT Eleven Eleven Estates,FAIL,0
PT Elite Interior Project,OK,10 fields
PT Elogic Venture Capital,OK,11 fields
PT Elyon Hotel Management,OK,9 fields
PT Emas Gunung Udara,OK,10 fields
PT Emerald Paradise imta,NO_PDFS,0
PT Eminent Consulting Group,OK,11 fields
PT Empat Mutiara Hitam,OK,11 fields
PT Emphaty Centre Bali,OK,3 fields
PT Encore Investment Creative,OK,6 fields
PT Endless Freedom Indonesia,OK,10 fields
PT Energi Sehat Bali,OK,4 fields
PT Enkay Dream Investments,OK,11 fields
PT Enlight Bali Film,OK,10 fields
PT Epicure Casual Group,OK,7 fields
PT Equilance Mindful Consulting,OK,11 fields
PT Erin Hayes Investment,OK,10 fields
PT Es Krim Bali bagus,FAIL,0
PT Esmart Management Bali,OK,3 fields
PT Estates Brokerage Group Indonesia PT ganti nama,OK,11 fields
PT Esther Sierra Group,OK,9 fields
PT Estremo Oriente Indonesia,OK,11 fields
PT Esw Development Group,OK,11 fields
PT Ettore Gelato Bali,OK,11 fields
PT Eun Young Indonesia,OK,9 fields
PT Eureka Management and Service,FAIL,0
PT Eva Penimbung Permai,OK,12 fields
PT Everis Investment Group,OK,11 fields
PT Evimoosoi,NO_PDFS,0
PT Ewa Samudra,NO_PDFS,0
PT Exquisite Bali Property,OK,10 fields
PT FINRAN CAPITAL GROUP,OK,11 fields
PT FKL Meraki Indo,OK,11 fields
PT FLKR,NO_PDFS,0
PT FMCG Europe Indovestments,OK,14 fields
PT FRA Real Estate Consulting,OK,11 fields
PT FREEDOM INDONESIA,OK,6 fields
PT Fabrikco Ventures International,OK,10 fields
PT Face Architect Method,OK,11 fields
PT Faedah Pacific Ventures,OK,10 fields
PT Fak Team Apparel,OK,8 fields
PT Famous Parambil Sulthaniya,OK,10 fields
PT Faraki Prima Ubud,OK,10 fields
PT Farhad Guseynov Project,OK,11 fields
PT Farid Media Consulting,OK,11 fields
PT Fashion Alchemy Bali,OK,10 fields
PT Fashion Trading Center,OK,10 fields
PT Fast Energy Indonesia,OK,10 fields
PT Fave Jaya Residences,OK,10 fields
PT Fifth Dimension Porperty,OK,9 fields
PT Filatov Property Bali,OK,11 fields
PT Fillup Today Bali,OK,11 fields
PT Final Design Landscapes,OK,11 fields
PT Firasat Internasional Perusahaan,OK,11 fields
PT First Balinese Experience,OK,9 fields
PT Fit Love Bali,OK,10 fields
PT Five Dimensional Regeneration,OK,10 fields
PT Five Elements Hospitality,OK,11 fields
PT Five Stars Krakatoa,OK,11 fields
PT Five Start Int,OK,9 fields
PT Fivelements,FAIL,0
PT Flavor Emotion Experience,OK,9 fields
PT Flehan Leisure Group,OK,11 fields
PT Flo Movement Studio,OK,9 fields
PT Flow Estate Bali,OK,10 fields
PT Fod Lab Bali,OK,11 fields
PT Foreigner Magic Hat,OK,10 fields
PT Forever Ink Tattoo Studio,OK,8 fields
PT Format Furniture Production,OK,9 fields
PT Fortitude Fitness Bali,OK,4 fields
PT Fotesko Fashion Group,OK,10 fields
PT Foundry Brands Collective,OK,8 fields
PT Fouram Active Wear,OK,11 fields
PT Fov Investment Solution,OK,10 fields
PT Freedom Frequency Villas,OK,10 fields
PT Friends and Family,OK,10 fields
PT Frogs and Dragons,OK,8 fields
PT Fulfil The Dream,OK,11 fields
PT Fusion Hawai,NO_PDFS,0
PT Future Development Ventures,OK,11 fields
PT Future Forward Studios,OK,10 fields
PT Future Textile Solutions,OK,11 fields
PT GAPI GROUP INTERNATIONAL,OK,9 fields
PT GENTE DII MARE,OK,10 fields
PT GNS Gioielli Manufacturing,OK,11 fields
PT Gadalnya Bar Family,OK,11 fields
PT Ganesa Prima Megah,OK,11 fields
PT Ganesha Maju Warna,FAIL,0
PT Ganesha New Worldwide,FAIL,0
PT Garcia Ubud,OK,3 fields
PT Gardyne Villas Bali,OK,11 fields
PT Garuda,OK,3 fields
PT Gastaldi Gonzalez International,OK,11 fields
PT Gastro Family Bali,OK,11 fields
PT Gavin Autterson Media Management,OK,11 fields
PT Grand Harvest Land,OK,3 fields
PT Granitor,OK,5 fields
PT Grass Roots Wellness,FAIL,0
PT Hannah Sainte Julie,OK,12 fields
PT Horizon Dream Sumbawa,OK,10 fields
PT Horizon Supply Consulting,OK,11 fields
PT Hugo Developmenet Group,OK,11 fields
PT Huitieme Parallele Consulting,FAIL,0
PT Huwin Property Development,OK,10 fields
PT Hydrotech,NO_PDFS,0
PT Hydrotech Indonesia,NO_PDFS,0
PT Hype Red Project,OK,10 fields
PT Hypercube Agency Bali,OK,11 fields
PT IIN BALI INDONESIA,FAIL,0
PT IKNK Investment Trust,OK,13 fields
PT IMB BAYU SANTERO,NO_PDFS,0
PT IMTA & DPKK, RPTKA,FAIL,0
PT INAUST,OK,5 fields
PT INDICO NATURAL LIVING,OK,11 fields
PT INDO CORAL,OK,5 fields
PT INDO NATASHA GEMILANG,OK,5 fields
PT INDO NEOPRENE,FAIL,0
PT Iber Smart System,OK,11 fields
PT Ibizain Tourism Services,FAIL,0
PT Ibu Bumi Bali,OK,8 fields
PT Ichnos West Sumbawa,OK,10 fields
PT Ideal Developments Solutions,OK,11 fields
PT Ieni International Cargo,OK,11 fields
PT Ikan Pari Wisata  Bahari,OK,10 fields
PT Ikigai Management Services,OK,10 fields
PT Ina Nadi Mas,FAIL,0
PT Indah Seperti Matahari,OK,7 fields
PT Indo Investments Bali,OK,11 fields
PT Indo Magic Land,OK,10 fields
PT Indo Mita Consulting,OK,11 fields
PT Indo Property Management,OK,9 fields
PT Indo Travel Management,OK,8 fields
PT Indo World Work,OK,14 fields
PT Indobamboo Lestari,OK,12 fields
PT Indocean Chartes,FAIL,0
PT Indomykonos Int'l,OK,5 fields
PT Indonesia Activity Center,OK,10 fields
PT Indonesia Human Support,OK,11 fields
PT Indonesia Pepelatz Konstruksi,OK,11 fields
PT Indonesian Cooler,FAIL,0
PT Indonesian Investment Partner,OK,8 fields
PT Indonesian riviera,FAIL,0
PT Indovillas and Indohomes,OK,9 fields
PT Industri Vertikal Indonesia,OK,3 fields
PT Infinite Global Connections,OK,6 fields
PT Ini Solusi Hijau,FAIL,0
PT Innovative Archipelago Developments,OK,10 fields
PT Insight International Business,OK,10 fields
PT Inter Sidera Versor,OK,10 fields
PT Inter Tropic Solution,OK,11 fields
PT International Food Technology,OK,7 fields
PT International Metamorphosis Design,OK,12 fields
PT Invercan Asia Investments,OK,10 fields
PT Investment Management Solution,OK,10 fields
PT Investon Estate Bali,OK,11 fields
PT Invision Marketing Investments,OK,10 fields
PT Iog Maison Bali,OK,11 fields
PT Iris Real Estate Management,OK,11 fields
PT Iron Investment Consulting,OK,10 fields
PT Island Explorer Cruiser,NO_PDFS,0
PT Island Motorbikes Bali,OK,11 fields
PT Island Move Properties,OK,14 fields
PT Island Realsearch Business Development,OK,10 fields
PT Island Roots Naturals,OK,9 fields
PT Island Sand Box,OK,11 fields
PT Island Spirit Art Creation,OK,8 fields
PT Istana Dewi Makmur,FAIL,0
PT Italian Bali Charmes Properties,OK,10 fields
PT Itchi Digital Bali,OK,10 fields
PT Ivan Sandra Travel,OK,12 fields
PT Iwanna See More,OK,11 fields
PT Iyla Lakey Development,OK,10 fields
PT JCN INDONESIA,FAIL,0
PT JDB Properti Solutions,OK,11 fields
PT JDRV Business Group,OK,11 fields
PT JLE International Trading,OK,10 fields
PT JMC Niaga Bali,FAIL,0
PT JULISUN,NO_PDFS,0
PT Jaa Jaa Juu,OK,11 fields
PT Jabato International,FAIL,0
PT Jam Jam Jaya,OK,9 fields
PT Jamu Balinesse Spa,OK,10 fields
PT Jamu Real Estate,OK,12 fields
PT Janets Journeys Bali,OK,7 fields
PT Jardines De Bali,OK,10 fields
PT Jay Kay Group,OK,10 fields
PT Jaya Indah Dekorasi,FAIL,0
PT Jayne Okello Integrate,OK,11 fields
PT Jembatan Campuhan Ubud,FAIL,0
PT Jessica Tarr Design,OK,9 fields
PT Jhony and Jimmy Management,OK,7 fields
PT Jimla Global Developments,OK,10 fields
PT Jin Zhou Lezat,OK,5 fields
PT Joa Yalla Surf,OK,10 fields
PT Joglo Living Intl,OK,12 fields
PT Jola Real Estate,OK,11 fields
PT Jon Hops Management,OK,11 fields
PT Jora Indonesia DMC,OK,6 fields
PT Jovian System,NO_PDFS,0
PT Joyful Principles Bali,OK,10 fields
PT Jro Kayun Consulting,OK,11 fields
PT Julius Caesar Consulting,OK,10 fields
PT Jungle Dream House,OK,11 fields
PT Jungle Padel Bali,OK,10 fields
PT Jungle Padel Seseh,OK,9 fields
PT Juvan Bali Trading,OK,11 fields
PT KAI Bali Ventures,OK,10 fields
PT KITA MEREKA KREASI,NO_PDFS,0
PT KLJ Property Development,OK,9 fields
PT KTB Marine Indonesia,OK,10 fields
PT KTP + NPWP,FAIL,0
PT KUPU - KUPU BALI,OK,3 fields
PT Kabuto Royal Design,OK,8 fields
PT Kaelum Group Ptpma,OK,10 fields
PT Kaimana And Kaiko,OK,11 fields
PT Kairos Urban Development,OK,6 fields
PT Kalma Bali Home,FAIL,0
PT Kami dan Mereka,OK,3 fields
PT Kamu Concepts Studio and Design,OK,9 fields
PT Kandi And Caleb Group Import And Export Real Estate Management,OK,9 fields
PT Kapal Layar Indonesia,NO_PDFS,0
PT Karalis Investment Indonesia,OK,11 fields
PT Karma Bali Bagus,OK,14 fields
PT Karta Developers Paradise,OK,10 fields
PT Karta Entertainment Found,OK,11 fields
PT Karunia Penyembuhan Alami,OK,4 fields
PT Karya Bali Indah,FAIL,0
PT Karya Effective Solutions,OK,11 fields
PT Karya Mandiri Explorers,OK,11 fields
PT Karya Nusantara Aitana,OK,11 fields
PT Kasih Indah Bali,OK,9 fields
PT Kasili,OK,10 fields
PT Kasto Bali Management,OK,11 fields
PT Kavo Maison Bali,OK,10 fields
PT Kaya Spa Grup,FAIL,0
PT Keka Jewel Bali,OK,3 fields
PT Kelapa Digital Consulting,OK,11 fields
PT Keluarga Brazil Bali,OK,10 fields
PT Keluarga Ombak Berjaya,NO_PDFS,0
PT Kemathad Family Property,OK,9 fields
PT Kembar Digital Indonesia,OK,11 fields
PT Keno Capital Investment,OK,10 fields
PT Kepulauan Sunda Kecil,OK,12 fields
PT Key Partners Indonesia,OK,10 fields
PT Khali Bali Ubud,OK,10 fields
PT Kharisma Adiwibawa tour and travel,OK,9 fields
PT Kharisma Nusa Indah,OK,3 fields
PT Kibarer Development,OK,7 fields
PT Kinoh Real Estate,OK,11 fields
PT Kita Lima Saudara,OK,11 fields
PT Kitn Anna Zuch,OK,11 fields
PT Kivon Wilk Trade,OK,10 fields
PT Klasys it,OK,3 fields
PT Kober Bali Tour and Travel,FAIL,0
PT Kohana Jewellery Brand,OK,11 fields
PT Koi Gold Fish,FAIL,0
PT Kokita Meno,OK,3 fields
PT Kole International Trader,OK,11 fields
PT Komunitas Laut Nusantara,OK,5 fields
PT Konnectid Health Supplements,OK,9 fields
PT Konsep Konstruksi Group,OK,7 fields
PT Konsultasi Modal Sehat,OK,11 fields
PT Kopytskyy Dua Development,OK,11 fields
PT Kosta Dunia Cerah,OK,11 fields
PT Kreasi Rasa Meksiko,OK,6 fields
PT Kris Investment And Trade,OK,11 fields
PT Kuat Investment Consulting,OK,10 fields
PT Kuat Solution Bali,OK,11 fields
PT Kucher Echo Motor,OK,12 fields
PT Kunci Bali Property,NO_PDFS,0
PT Kura Kura Investasi,OK,10 fields
PT Kush Property Development,OK,11 fields
PT Kuta Mandalika Group,OK,11 fields
PT Kweku West Group,OK,9 fields
PT LAKSHMI INVESTMENT BALI,OK,9 fields
PT LF 2 Factory,OK,3 fields
PT LIGON,FAIL,0
PT LYKIN,OK,13 fields
PT Lab Satu Delapan Satu,OK,11 fields
PT Lachance Property Management,OK,9 fields
PT Lakra,OK,11 fields
PT Lakra Villas Spa,OK,8 fields
PT Lala Catalano Investments,OK,11 fields
PT Lambrou Indah Management,OK,9 fields
PT Landscape Art Bali,OK,11 fields
PT Lao You Bali,NO_PDFS,0
PT Las Alas Studio,OK,11 fields
PT Lautan Indo Jiwa,OK,3 fields
PT Lay Day Group,OK,7 fields
PT Layang Bali Jaya,OK,14 fields
PT Lead Generation Global,NO_PDFS,0
PT Legian Makmur,OK,7 fields
PT Leleka Internasional Indonesia,OK,11 fields
PT Leo Sells Bali,OK,11 fields
PT Lesbabes Spa Bali (zainal),FAIL,0
PT Lestari Asri Hijau,OK,8 fields
PT Lestari Rasa Grup,FAIL,0
PT Lets Get Afterit,OK,11 fields
PT Lettuce Entertain You,OK,11 fields
PT Liah Media Consulting,OK,11 fields
PT Libertad Con Alma,OK,10 fields
PT Liberty Bali,FAIL,0
PT Libra Investment Consulting,OK,10 fields
PT Life Bali Group,OK,11 fields
PT Lifestyle Property Group,OK,10 fields
PT Ligeli Jiwa Raga Selaras,OK,8 fields
PT Lightmen Development Group,OK,3 fields
PT Lili Tour & Travel,FAIL,0
PT Lin Ubud Management,OK,7 fields
PT Link Ventures Capital,OK,11 fields
PT Lion Investment Consulting,OK,11 fields
PT Liputan Bali Sukses Abadi,OK,3 fields
PT Liqui Molly Indonesia,FAIL,0
PT Live Better Creatives,OK,10 fields
PT Live Dream Bali,OK,11 fields
PT Living Shoreline Dreams,FAIL,0
PT Loft Indonesia Group,OK,8 fields
PT Loku Property Investments,OK,10 fields
PT Lombok Cabana Lodge,FAIL,0
PT Lontar Jaya Properti,OK,10 fields
PT Lostin Bali Indonesia,OK,9 fields
PT Lowlands Capital Investments,OK,8 fields
PT Loyo Bondar Real Estate,OK,10 fields
PT Loyo Development Bali,OK,9 fields
PT Loyo Group Bali,OK,10 fields
PT Lucky Choice Bali,OK,11 fields
PT Lucky Estate Development,FAIL,0
PT Luga Indonesia,FAIL,0
PT Lumbung Padi,FAIL,0
PT Lumi Creative House,OK,11 fields
PT Lumi Gili Besar,FAIL,0
PT Lumina Aesthetic Clinic,OK,12 fields
PT Lumos Innovation Labs,OK,11 fields
PT Luvira Interior Goods,OK,9 fields
PT Lys Tunggal Abadi,NO_PDFS,0
PT MATERAI,NO_PDFS,0
PT MATERAI 10000,NO_PDFS,0
PT MATERAI 3000,NO_PDFS,0
PT MBM Indonesia Group,OK,12 fields
PT MBR Investments Group,OK,10 fields
PT MCGM International Business,OK,10 fields
PT MJM Lifestyle Investments,OK,11 fields
PT MOST BLUE,FAIL,0
PT MVMT Properties Bali,OK,10 fields
PT MYKYTA MARKOV,NO_PDFS,0
PT Mac Net Informasi,OK,10 fields
PT Macaronesia Link Global,OK,10 fields
PT Made For Paradise,FAIL,0
PT Made With Comp,OK,11 fields
PT Madeby Made Consulting,OK,8 fields
PT Madu Brooklyn,OK,6 fields
PT Magalia Pascal,OK,9 fields
PT Magic Bali Island,OK,12 fields
PT Magic Bird Colibri,OK,9 fields
PT Magic Leocorno Cornuto,OK,9 fields
PT Magnificent Glory Bali,OK,9 fields
PT Magnolia Megah Prima,OK,10 fields
PT Magnum Management Indonesia,OK,11 fields
PT Mahagiri,NO_PDFS,0
PT Maison Design Group,OK,11 fields
PT Maison Properties Management,OK,11 fields
PT Majarom Luclair Leju,FAIL,0
PT Maju Bersama Agency,OK,13 fields
PT Maju Consulting Bali,OK,11 fields
PT Makan Tiga Sembilan,OK,8 fields
PT Malamadre Motor Bali,OK,11 fields
PT Malu Rumah Kecil,OK,10 fields
PT Mamasan Restaurant,OK,8 fields
PT Mamoo Cafe Restaurant,OK,6 fields
PT Manaka Karya Collective,FAIL,0
PT Mani Libertad Villas,OK,11 fields
PT Manis Asri,OK,11 fields
PT Mantha Rhei,FAIL,0
PT Mapru Business Group,OK,10 fields
PT Mares Fitness Coaching,OK,10 fields
PT Marias Villas Bali,OK,11 fields
PT Marina Yers Three,OK,10 fields
PT Markov Squared Group,OK,6 fields
PT Marquis Carabas Real Estate,OK,7 fields
PT Marsa Bali Management,OK,10 fields
PT Marshall Investment Bali,OK,10 fields
PT Marzano Bali Agung,OK,5 fields
PT Masa Depan Cerah,EMPTY_FOLDER,0
PT Masa Depan Utama Lestari,OK,11 fields
PT Max Gianni Management,OK,12 fields
PT Max Uli Bali,OK,11 fields
PT Maximus Media Consulting,OK,11 fields
PT Maydana Crespo Partnership,OK,7 fields
PT Mazo Consulting and Development,OK,9 fields
PT Mcmillan Indonesian Investment Group,FAIL,0
PT Meccanica Breganzese Indonesia,OK,10 fields
PT Media Nusantara Film,OK,9 fields
PT Mediterraneo Boutique Resort,OK,11 fields
PT Mega Jaya Tirta,OK,11 fields
PT Mega Trade Group,OK,9 fields
PT Megah Sentosa Properti,OK,10 fields
PT Megi Media Consulting,OK,11 fields
PT Melba Partners Bali,OK,10 fields
PT Mellow Boutique Bali,OK,10 fields
PT Melograno Fusion Bali,OK,11 fields
PT Melting Wok,NO_PDFS,0
PT Memimpikan Laut Padang - Padang,FAIL,0
PT Merah Bisma Ubud PT (Bu Wira),OK,10 fields
PT Mio Meier Forster,OK,12 fields
PT Nusa Futura Wan,OK,10 fields
PT Nusa Tropic Logistics,OK,10 fields
PT Palm Bay Bali,OK,12 fields
PT Palm Investment Group,OK,10 fields
PT Palma Bali Management,OK,14 fields
PT Paloma Residence Bali,FAIL,0
PT Panca Niaga Bali Perkasa,FAIL,0
PT Panda Baba International,OK,7 fields
PT Pandana Group PT (Heru),FAIL,0
PT Pandawas Villas,OK,7 fields
PT Panorama Bali Utara,OK,7 fields
PT Real Cafe Timor Makmur,FAIL,0
PT Real Events And Creatives,FAIL,0
PT Real Italian Management,OK,3 fields
PT Real Quality Construction,OK,8 fields
PT Red Business Consultancy,OK,13 fields
PT Red Dust Rough,OK,10 fields
PT Red Ginger Creation,FAIL,0
PT Shanty Investments Lombok,OK,10 fields
PT Shape Dot Haus,OK,9 fields
PT Shardana Real Estate,OK,10 fields
PT Shardana West Sumbawa,OK,10 fields
PT Sheikh Mansur Academy,OK,10 fields
PT Shelter Indonesia Group PT (Anton),OK,10 fields
PT Shifengyi Industrial Indonesia,OK,7 fields
PT Shiva Industries Indonesia,OK,10 fields
PT Shooters Bali Indonesia,FAIL,0
PT Shop Tanaman Bali,OK,11 fields
PT Tenggara Point Resort,OK,9 fields
PT Ultimate Gili Gede,OK,8 fields
PT Ulun Amerta Jaya,FAIL,0
PT Yaya Care Consulting,OK,10 fields
PT Yayasan Bali Indah Cipta Karya,OK,5 fields
PT Yayasan Cendekia Muda Ceria,OK,6 fields
PT Yayasan Duta Bina Bhuana,FAIL,0
PT Yayasan Kepustakaan Bung Karno,OK,6 fields
PT Yayasan Seribu Cita Bangsa,FAIL,0
PT Yaysan Stella Anak,OK,3 fields
PT Yeldarb,OK,5 fields
PT Yellow Cyberindo Wisnutama,FAIL,0
PT Yellow Investment Consulting,OK,10 fields
PT Yoga 108 Bali,FAIL,0
PT Yoga Kolektif Bali,FAIL,0
PT Yoga Lab Retreats,OK,6 fields
PT Yogi International,FAIL,0
PT Yoli and Zua,OK,11 fields
PT Yoniso Manasikara,OK,8 fields
PT You Investments Bali,OK,10 fields
PT Zon Sketch Creative,OK,9 fields
PT Zorrin Video Production,OK,11 fields
PT Zuna Yoga Bali,FAIL,0
PT foto - foto,NO_PDFS,0
PT untitled folder,EMPTY_FOLDER,0
